# StartTime = 03/12/2026 03:18:46.9578 am
Time (sec), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
2377.425,7.915346,39.625214,1.8641136,0.21633606,36.588196,0.61350113,4.855237,36.287796,3.2326596,0.20549467,4.89543,9.071347,2.4744835,23.529411,170.6,29.5301
2377.707,7.9155116,39.62969,1.8641136,0.2163531,36.58608,0.61353666,4.8556194,36.28572,3.185389,0.20248976,4.8958125,9.205964,2.4382997,23.921568,170.6,29.825401
2377.962,7.915637,39.633785,1.2427424,0.21636651,36.58439,0.61356497,4.855921,36.28406,3.179665,0.2021259,4.896114,9.222537,2.4339182,23.529411,170.6,29.5301
2378.219,7.91573,39.63823,1.2427424,0.21638201,36.5822,0.6136017,4.8562684,36.28191,3.2152014,0.2043849,4.8964615,6.0804024,3.69168,23.529411,170.6,29.5301
2378.467,7.915815,39.64236,1.2427424,0.21639672,36.580105,0.61363685,4.8565984,36.279854,3.1624932,0.20103431,4.8967915,6.1817427,3.6311605,23.137255,170.6,29.5301
2378.737,7.915904,39.646423,1.2427424,0.21641058,36.578175,0.6136692,4.8569098,36.277958,3.179665,0.2021259,4.897103,6.148358,3.6508772,22.745098,170.6,29.825401
2378.969,7.9159966,39.651215,1.2427424,0.21642587,36.57602,0.6137054,4.8572526,36.27584,3.140742,0.19965163,4.8974457,6.224554,3.6061862,23.137255,170.6,29.5301
2379.222,7.916077,39.654484,1.2427424,0.21643768,36.574394,0.6137327,4.8575177,36.274246,3.095809,0.19679531,4.897711,6.3148985,3.554594,22.745098,170.6,29.825401
2379.479,7.9161506,39.65892,1.2427424,0.21645162,36.57238,0.61376643,4.8578305,36.272266,3.140742,0.19965163,4.8980236,6.224554,3.6061862,22.352942,170.6,29.5301
2379.746,7.9162483,39.664062,1.2427424,0.21646701,36.57023,0.61380255,4.858176,36.270157,3.0653765,0.19486077,4.8983693,6.3775916,3.5196517,23.137255,170.6,29.5301
2380.010,7.916348,39.668175,1.2427424,0.21648008,36.56848,0.6138319,4.8584695,36.26844,3.0206819,0.19201961,4.8986626,6.471956,3.4683335,23.137255,170.6,29.825401
2380.249,7.9164376,39.672157,0.6213712,0.21649426,36.5665,0.61386514,4.8587875,36.266495,3.1266706,0.19875714,4.8989806,6.2525673,3.5900292,23.921568,170.6,29.825401
2380.488,7.9164753,39.675774,0.6213712,0.21650653,36.564606,0.61389697,4.8590627,36.26463,3.1182277,0.19822045,4.8992558,3.1347482,7.1606708,30.19608,170.6,29.825401
2380.727,7.916515,39.680054,1.2427424,0.21651992,36.562523,0.6139319,4.8593636,36.262585,3.1511884,0.20031568,4.8995566,3.1019597,7.236361,27.843138,170.6,29.5301
2380.962,7.9166,39.684334,1.2427424,0.21653643,36.56013,0.6139721,4.859734,36.260235,3.805104,0.24188401,4.899927,5.1377616,4.369004,29.019608,170.6,29.5301
2381.217,7.9166946,39.687958,1.2427424,0.21655296,36.557777,0.61401165,4.860105,36.257923,3.556016,0.2260499,4.900298,5.4976463,4.0830016,29.80392,170.6,29.5301
2381.477,7.9167666,39.691895,1.2427424,0.21656685,36.555763,0.61404544,4.860417,36.255947,3.7239192,0.23672321,4.90061,5.2497697,4.2757874,30.19608,170.6,29.5301
2381.723,7.9168496,39.697155,1.8641136,0.21658294,36.553432,0.6140846,4.860778,36.253654,3.8245656,0.24312113,4.900971,5.111618,4.3913493,31.764706,170.6,29.825401
2382.030,7.9170218,39.70127,1.8641136,0.21660605,36.550327,0.6141368,4.861296,36.250607,3.874889,0.2463201,4.9014893,7.56785,2.9660869,57.64706,170.6,29.5301
2382.280,7.9171433,39.706066,1.8641136,0.21662474,36.547733,0.6141803,4.861716,36.248062,4.0452724,0.2571511,4.901909,7.249099,3.0965092,48.235294,170.6,29.5301
2382.559,7.9172983,39.710518,2.4854848,0.21666647,36.54141,0.61428666,4.862653,36.241844,8.316069,0.52863836,4.902846,3.5262547,6.365649,36.07843,170.6,29.825401
2382.803,7.9174623,39.714703,3.1068559,0.21670276,36.536045,0.61437684,4.8634667,36.236576,7.949878,0.50536025,4.90366,4.9182434,4.5640073,30.588236,170.6,30.120703
2383.058,7.9176903,39.71885,3.7282271,0.21672885,36.532703,0.61443305,4.8640523,36.233295,6.262213,0.39807826,4.9042454,7.804636,2.8760982,30.588236,170.6,30.416002
2383.283,7.9179506,39.723,3.7282271,0.21675181,36.530033,0.61447793,4.8645678,36.23068,5.134401,0.3263851,4.904761,11.422785,1.9650986,34.509804,170.6,30.416002
2383.526,7.91819,39.726257,4.3495984,0.21677208,36.52772,0.61451685,4.8650227,36.228413,4.959533,0.3152691,4.9052157,11.825539,1.8981714,25.882353,170.6,30.120703
