# StartTime = 03/12/2026 03:17:53.1221 am
Time (sec), Trip Fuel (gal), Trip Fuel Economy (MPG), Average Trip CO2 Rate (lb/mile), Total Trip CO2 (lbs), Total Fuel Economy (MPG), Engine Power (hp), Fuel Rate (gal/hr), Total CO2 (lbs), Instant Fuel Economy (MPG), Instant CO2 rate (lb/mile), Calculated load value (%), Trip Distance (miles), Trip Duration (min), Vehicle speed (MPH), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg)
15.324,0.0014409131,0,0,0.032338455,0,4.645192,0.29528695,0.032338455,0,0,38.82353,0,0.25696772,0,62.6,29.234798
15.544,0.0014613318,0,0,0.03279672,0,4.9017215,0.3115941,0.03279672,0,0,36.07843,0,0.260918,0,62.6,29.234798
15.793,0.001479682,0,0,0.033208553,0,4.930055,0.3133952,0.033208553,0,0,38.431374,0,0.26438186,0,62.6,29.234798
16.022,0.0014999736,0,0,0.033663955,0,4.5683002,0.29039907,0.033663955,0,0,37.64706,0,0.2688324,0,62.6,29.234798
16.248,0.0015203465,0,0,0.03412118,0,4.866233,0.30933815,0.03412118,0,0,38.431374,0,0.27259842,0,62.6,29.234798
16.474,0.001537898,0,0,0.034515094,0,4.780659,0.3038984,0.034515094,0,0,38.039215,0,0.27621856,0,62.6,29.234798
16.689,0.001557645,0,0,0.034958277,0,4.8428597,0.30785236,0.034958277,0,0,36.47059,0,0.2799806,0,62.6,29.234798
16.923,0.0015764346,0,0,0.035379972,0,4.8304577,0.307064,0.035379972,0,0,38.039215,0,0.2835819,0,62.6,29.234798
17.172,0.0015958883,0,0,0.035816573,0,4.604647,0.2927096,0.035816573,0,0,37.64706,0,0.2873423,0,62.6,29.234798
17.415,0.0016179435,0,0,0.036311556,0,4.7934427,0.304711,0.036311556,0,0,38.039215,0,0.29181275,0,62.6,29.234798
17.650,0.0016388035,0,0,0.03677972,0,4.7440257,0.30156967,0.03677972,0,0,38.039215,0,0.29579625,0,62.6,29.234798
17.867,0.0016565179,0,0,0.037177283,0,4.7934427,0.304711,0.037177283,0,0,37.2549,0,0.29940245,0,62.6,29.234798
18.077,0.0016736233,0,0,0.037561182,0,4.7934427,0.304711,0.037561182,0,0,38.039215,0,0.3030129,0,62.6,29.234798
18.313,0.0016924284,0,0,0.037983224,0,4.6810145,0.29756415,0.037983224,0,0,37.64706,0,0.3067936,0,62.6,29.234798
18.546,0.0017130151,0,0,0.038445253,0,4.8165774,0.30618164,0.038445253,0,0,36.862743,0,0.31091326,0,62.6,29.234798
18.791,0.0017327099,0,0,0.038887262,0,4.716551,0.29982314,0.038887262,0,0,36.862743,0,0.31451875,0,62.6,29.234798
19.016,0.0017499436,0,0,0.039274037,0,4.6541595,0.295857,0.039274037,0,0,37.2549,0,0.3187815,0,62.6,29.234798
19.264,0.0017691759,0,0,0.03970567,0,4.645192,0.29528695,0.03970567,0,0,36.47059,0,0.32273126,0,62.6,29.234798
19.317,0.0017908938,0,0,0.04019309,0,4.7671127,0.30303726,0.04019309,0,0,36.47059,0,0.3269685,0,62.6,29.234798
